x1,x2,x3,x4,x5,x6,x7,Stats_Discrepancy,AD_Stats_Discrepancy,Difference
10,30,35,218,2646,30,30,0.04405,0.04544,-0.0013900000000000023
10,30,35,218,2621,30,30,0.04329,0.04468,-0.0013899999999999954
10,30,35,218,2696,30,30,0.04497,0.04635,-0.0013799999999999993
10,30,35,218,2722,30,30,0.04543,0.04681,-0.0013799999999999993
10,30,35,218,2747,30,30,0.04589,0.04727,-0.0013799999999999993
10,30,35,218,2772,30,30,0.0461,0.04743,-0.0013299999999999979
10,30,35,218,2797,30,30,0.0464,0.04765,-0.0012500000000000011
10,30,35,218,2823,30,30,0.04677,0.04795,-0.0011800000000000005
10,30,35,218,2848,30,30,0.04716,0.04829,-0.001129999999999999
10,30,35,218,2873,30,30,0.04758,0.04862,-0.0010399999999999993
10,30,35,218,2898,30,30,0.04771,0.04864,-0.0009300000000000003
10,30,35,218,2949,30,30,0.04829,0.04918,-0.0008900000000000019
10,30,35,218,2924,30,30,0.04793,0.04879,-0.0008599999999999997
10,30,35,218,2974,30,30,0.04858,0.04943,-0.0008500000000000035
10,30,35,218,2999,30,30,0.04884,0.04962,-0.000779999999999996
